Code,Name,Grognard,Duration,PlayLate,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,,,,,,,,,,,
SET,Settlers of Catan,,,,Settlers,,,,,,,,,,,,,,,,
SFR,Santa Fe Rails,,,,,,,,,,,,,,,,,,,,
SGH,Stronghold,,,once,,,,,,,,,,,,,,,,,
SGM,Sergeants: Miniatures Game,,,all,Sergeants Miniature Game,Sergeants Miniatures Game,,,,,,,,,,,,,,,
SJN,San Juan,,,,,,,,,,,,,,,,,,,,
SKG,Sekigahara,,,once,,,,,,,,,,,,,,,,,
SLS,Slapshot,,,all,,,,,,,,,,,,,,,,,
SMK,Samarkand,,,,,,,,,,,,,,,,,,,,
SMW,Small World,,,,,,,,,,,,,,,,,,,,
SOS,Storm Over Stalingrad,,,once,Storm over Stalingrad,,,,,,,,,,,,,,,,
SPG,St. Petersburg,,,,Saint Petersburg,St Petersburg,,,,,,,,,,,,,,,
SPY,Spyrium,,,all,,,,,,,,,,,,,,,,,
SQL,Squad Leader,,,,,,,,,,,,,,,,,,,,
SSB,Superstar Baseball,,15,once,,,,,,,,,,,,,,,,,
STA,Stone Age,,,,,,,,,,,,,,,,,,,,
STS,Street Soccer,,,,,,,,,,,,,,,,,,,,
SUC,Successors,,,,,,,,,,,,,,,,,,,,
SYD,Shipyard,,,,,,,,,,,,,,,,,,,,
T&T,Thurn & Taxis,,,,Thurn & Taxus,,,,,,,,,,,,,,,,
TAM,Trans America,,,,TransAmerica,,,,,,,,,,,,,,,,
THS,The Hell of Stalingrad,,,,Hell of Stalingrad,,,,,,,,,,,,,,,,
TIM,Tigers in the Mist,,,,Tigers In Mist,,,,,,,,,,,,,,,,
TKL,Tikal,,,once,,,,,,,,,,,,,,,,,
TRC,The Russian Campaign,55,36,,Russian Campaign,,,,,,,,,,,,,,,,
TT2,Titan 2,,,,Titan 2 Player,Titan 2-Player,Titan Two,,,,,,,,,,,,,,
TTA,Titan: The Arena,,,,Titan; The Arena,Titan the Arena,Titan: the Arena,Titan:The Arena,,,,,,,,,,,,,
TTN,Titan,,,once,Titan & Titan Two,,,,,,,,,,,,,,,,
TTR,Ticket to Ride,,,,Ticket To Ride,,,,,,,,,,,,,,,,
TWI,Twilight Imperium,,,,,,,,,,,,,,,,,,,,
TWS,Twilight Struggle,,,,,,,,,,,,,,,,,,,,
TXG,Texas Glory,,,,,,,,,,,,,,,,,,,,
TYX,Tyranno Ex,,,,,,,,,,,,,,,,,,,,
TZK,Tzolk'in,,,,,,,,,,,,,,,,,,,,
UNP,Union Pacific,,,,,,,,,,,,,,,,,,,,
UPF,Up Front,,,once,,,,,,,,,,,,,,,,,
VGQ,Virgin Queen,,,,,,,,,,,,,,,,,,,,
VIP,Victory In the Pacific,,,,Victory in Pacific,Victory In Pacific,Victory in the Pacific,,,,,,,,,,,,,,
VSD,Vegas Showdown,,,once,,,,,,,,,,,,,,,,,
W20,Waterloo 20,,,,,,,,,,,,,,,,,,,,
WAS,War At Sea,,,once,,,,,,,,,,,,,,,,,
WAT,Waterloo,55,36,,,,,,,,,,,,,,,,,,
WAW,World At War,,,,,,,,,,,,,,,,,,,,
WLL,Wellington,,,,,,,,,,,,,,,,,,,,
WNW,Wilderness War,,,once,,,,,,,,,,,,,,,,,
WOG,Warriors of God,,,once,,,,,,,,,,,,,,,,,
WOR,War of the Ring,,,,,,,,,,,,,,,,,,,,
WPS,"Win, Place & Show",,,,Win Place & Show,,,,,,,,,,,,,,,,
WPY,War Party,,,,,,,,,,,,,,,,,,,,
WSM,Wooden Ships & Iron Men,55,36,,Wooden Ships,Wooden Ships & Iron,Wooden Ships ...,Wooden Ships & IM,,,,,,,,,,,,,
WSR,White Star Rising,,,,,,,,,,,,,,,,,,,,
WTP,We The People,,,,,,,,,,,,,,,,,,,,
WWR,Washington's War,,,,,,,,,,,,,,,,,,,,
YSP,Yspahan,,,,,,,,,,,,,,,,,,,,
