"Code","Name","Grognard","Duration","PlayLate"
"PRO","Puerto Rico",,,,,,,,,,,,,,,,,,,,
"PZB","Panzerblitz",104,,,,,,,,,,,,,,,,,,,
"QGB","Star Wars: Queen's Gambit",,,,"Queen's Gambit","Star Wars Queen's Gambit","Star Wars: Queens Gambit","Star Wars; Queens Gambit","Star Wars; Queen's Gambit",,,,,,,,,,,,
"RA!","Ra",,,,"Ra!",,,,,,,,,,,,,,,,
"RBN","Rail Baron",,,,,,,,,,,,,,,,,,,,
"RBR","Rebel Raiders",,,"once",,,,,,,,,,,,,,,,,
"RBS","Russian Beseiged",,,,"Russia Besieged",,,,,,,,,,,,,,,,
"RDG","Ra: The Dice Game",,,,"Ra; The Dice Game","Ra: the Dice Game","Ra:The Dice Game","Ra; the Dice Game",,,,,,,,,,,,,
"RFG","Race For the Galaxy",,,,,,,,,,,,,,,,,,,,
"RGD","Roll For the Galaxy",,,,"Roll for the Galaxy",,,,,,,,,,,,,,,,
"ROR","Republic of Rome",,,,,,,,,,,,,,,,,,,,
"RRR","Russian Railroads",,,,,,,,,,,,,,,,,,,,
"RRY","Robo Rally",,,,,,,,,,,,,,,,,,,,
"RTT","Rattlebones",,,"all","RattleBones",,,,,,,,,,,,,,,,
"SCC","Stock Car Championship Racing",,,,"Stock Car Racing","Stockcar Racing","Stockcar Ch. Racing","StockCar Ch Racing","Stockcar Championship Racing",,,,,,,,,,,,
"SCT","Speed Circuit",,,,,,,,,,,,,,,,,,,,
"SET","Settlers of Catan",,,,"Settlers",,,,,,,,,,,,,,,,
"SFR","Santa Fe Rails",,,,,,,,,,,,,,,,,,,,
"SGM","Sergeants: Miniatures Game",,,"all","Sergeants Miniature Game","Sergeants Miniatures Game","Sergeants Minis Game",,,,,,,,,,,,,,
"SJN","San Juan",,,,,,,,,,,,,,,,,,,,
"SKG","Sekigahara",,,"once",,,,,,,,,,,,,,,,,
"SLS","Slapshot",,,"all",,,,,,,,,,,,,,,,,
"SMW","Small World",,,"once",,,,,,,,,,,,,,,,,
"SOD","Storm Over Dien Bien Phu",,,,,,,,,,,,,,,,,,,,
"SPD","Splendor",,,,,,,,,,,,,,,,,,,,
"SPG","St. Petersburg",,,,"Saint Petersburg","St Petersburg",,,,,,,,,,,,,,,
"SPY","Spyrium",,,"all",,,,,,,,,,,,,,,,,
"SQL","Squad Leader",104,,,,,,,,,,,,,,,,,,,
"SSB","Superstar Baseball",,15,"once",,,,,,,,,,,,,,,,,
"STA","Stone Age",,,,,,,,,,,,,,,,,,,,
"SWM","Star Wars Miniatures",,,,"Star Wars Minis",,,,,,,,,,,,,,,,
"T-G","Tin Goose",,,,,,,,,,,,,,,,,,,,
"T&T","Thurn & Taxis",,,,"Thurn & Taxus",,,,,,,,,,,,,,,,
"TAM","Trans America",,,,"TransAmerica",,,,,,,,,,,,,,,,
"TIM","Tigers in the Mist",,,,"Tigers In Mist",,,,,,,,,,,,,,,,
"TMP","Temporum",,,,,,,,,,,,,,,,,,,,
"TRC","The Russian Campaign",104,36,,"Russian Campaign",,,,,,,,,,,,,,,,
"TT2","Titan 2",,,,"Titan 2 Player","Titan 2-Player","Titan Two",,,,,,,,,,,,,,
"TTA","Titan: The Arena",,,,"Titan; The Arena","Titan the Arena","Titan: the Arena","Titan:The Arena",,,,,,,,,,,,,
"TTN","Titan",,,"once","Titan & Titan Two",,,,,,,,,,,,,,,,
"TTR","Ticket to Ride",,,,"Ticket To Ride",,,,,,,,,,,,,,,,
"TWI","Twilight Imperium",,,,,,,,,,,,,,,,,,,,
"TWS","Twilight Struggle",,,,,,,,,,,,,,,,,,,,
"TZK","Tzolk'in",,,,,,,,,,,,,,,,,,,,
"UNP","Union Pacific",,,,,,,,,,,,,,,,,,,,
"UPF","Up Front",,,"once",,,,,,,,,,,,,,,,,
"VGQ","Virgin Queen",,,,,,,,,,,,,,,,,,,,
"VIE","Victory in Europe",,,"once",,,,,,,,,,,,,,,,,
"VIP","Victory in the Pacific",,,,"Victory in Pacific","Victory In Pacific","Victory in the Pacific",,,,,,,,,,,,,,
"VSD","Vegas Showdown",,,"once",,,,,,,,,,,,,,,,,
"WAR","War Stories",,,,,,,,,,,,,,,,,,,,
"WAS","War At Sea",,,"once",,,,,,,,,,,,,,,,,
"WAT","Waterloo",104,36,,,,,,,,,,,,,,,,,,
"WAW","World At War",,,,,,,,,,,,,,,,,,,,
"WLL","Wellington",,,,,,,,,,,,,,,,,,,,
"WNW","Wilderness War",,,"once",,,,,,,,,,,,,,,,,
"WOG","Warriors of God",,,"once",,,,,,,,,,,,,,,,,
"WOR","War of the Ring",,,,,,,,,,,,,,,,,,,,
"WPS","Win, Place & Show",,,,"Win Place & Show","Win,  Place & Show",,,,,,,,,,,,,,,
"WSM","Wooden Ships & Iron Men",104,36,,"Wooden Ships","Wooden Ships & Iron","Wooden Ships ...","Wooden Ships & IM","Wooden Ships and Iron Men",,,,,,,,,,,,
"WWR","Washington's War",,,,,,,,,,,,,,,,,,,,
"YSP","Yspahan",,,,,,,,,,,,,,,,,,,,
