Boardgame Players Assocition,,,,,,,,,,,,,,,,,,,
2018 WBC Schedule,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Schedule by Game,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Day,Day Code,Time,Event Code,Event,Type,Round/Heat,Prize Level,Class,Format,Style,Duration,Location,GM,Category,,,,
7/26/18,Thursday,Th,17,AMR,Amun-Re,Tournament,SF,1,B,HMW,Scheduled,3,Alpine,"Thatcher, Greg",Trial,,,,
7/27/18,Friday,Fr,17,AMR,Amun-Re,Tournament,F,1,B,HMW,Scheduled,3,Laurel,"Thatcher, Greg",Trial,,,,
7/24/18,Tuesday,Tu,16,ACS,Atlantic Storm,Tournament,D1/3,--,--,--,--,1,Annex 1,"Knight, Ben",Century,,,,
7/25/18,Wednesday,We,17,ACS,Atlantic Storm,Tournament,D2/3,--,--,--,--,1,Annex 1,"Knight, Ben",Century,,,,
7/26/18,Thursday,Th,14,ACS,Atlantic Storm,Tournament,D3/3,--,--,--,--,1,Annex 1,"Knight, Ben",Century,,,,
7/24/18,Tuesday,Tu,18,ACS,Atlantic Storm,Tournament,H1/4,3,B,HMW,Scheduled,2,Grand Ballroom,"Knight, Ben",Century,,,,
7/25/18,Wednesday,We,19,ACS,Atlantic Storm,Tournament,H2/4,3,B,HMW,Scheduled,2,Grand Ballroom,"Knight, Ben",Century,,,,
7/26/18,Thursday,Th,9,ACS,Atlantic Storm,Tournament,H3/4,3,B,HMW,Scheduled,2,Grand Ballroom,"Knight, Ben",Century,,,,
7/27/18,Friday,Fr,13,ACS,Atlantic Storm,Tournament,H4/4,3,B,HMW,Scheduled,2,Grand Ballroom,"Knight, Ben",Century,,,02/22/18,Same
7/27/18,Friday,Fr,15,ACS,Atlantic Storm,Tournament,SF,3,B,HMW,Scheduled,2,Grand Ballroom,"Knight, Ben",Century,,,02/26/18,Same
7/27/18,Friday,Fr,17,ACS,Atlantic Storm,Tournament,F,3,B,HMW,Scheduled,2,Grand Ballroom,"Knight, Ben",Century,,,03/10/18,Same
7/28/18,Saturday,Sa,15,ATS,Attack Sub,Tournament,D1/1,--,--,--,--,1,Annex 1,"Caler, Steve",Legacy,,,02/22/18,Same
7/29/18,Sunday,Su,9,ATS,Attack Sub,Tournament,R1/3,3,B,SwEl,Continuous,1,Seasons,"Caler, Steve",Legacy,,,03/03/18,Same
7/29/18,Sunday,Su,10,ATS,Attack Sub,Tournament,R2/3,3,B,SwEl,Continuous,1,Seasons,"Caler, Steve",Legacy,,,03/08/18,Email
7/29/18,Sunday,Su,11,ATS,Attack Sub,Tournament,R3/3,3,B,SwEl,Continuous,1,Seasons,"Caler, Steve",Legacy,,,03/01/18,Same
7/29/18,Sunday,Su,12,ATS,Attack Sub,Tournament,QF,3,B,SwEl,Continuous,1,Seasons,"Caler, Steve",Legacy,,,03/14/18,Email
7/29/18,Sunday,Su,13,ATS,Attack Sub,Tournament,SF,3,B,SwEl,Continuous,1,Seasons,"Caler, Steve",Legacy,,,,
7/29/18,Sunday,Su,14,ATS,Attack Sub,Tournament,F,3,B,SwEl,Continuous,1,Seasons,"Caler, Steve",Legacy,,,,
7/24/18,Tuesday,Tu,17,AUC,Auction,Tournament,D1/1,--,--,--,--,1,Annex 2,"Wicks, Bob",Legacy,,,,
7/23/18,Monday,Mo,20,AUC,Auction,Tournament,H1/4,2,B,HMW,Scheduled,2,Wintergreen,"Wicks, Bob",Legacy,,,,
7/24/18,Tuesday,Tu,18,AUC,Auction,Tournament,H2/4,2,B,HMW,Scheduled,2,Wintergreen,"Wicks, Bob",Legacy,,,,
7/24/18,Tuesday,Tu,20,AUC,Auction,Tournament,H3/4,2,B,HMW,Scheduled,2,Wintergreen,"Wicks, Bob",Legacy,,,,
7/25/18,Wednesday,We,9,AUC,Auction,Tournament,H4/4,2,B,HMW,Scheduled,2,Wintergreen,"Wicks, Bob",Legacy,,,,
7/26/18,Thursday,Th,13,AUC,Auction,Tournament,SF,2,B,HMW,Scheduled,2,Seasons,"Wicks, Bob",Legacy,,,,
7/26/18,Thursday,Th,15,AUC,Auction,Tournament,F,2,B,HMW,Scheduled,2,Seasons,"Wicks, Bob",Legacy,,,,
7/24/18,Tuesday,Tu,16,AUT,Automobile,Tournament,D1/1,--,--,--,--,1,Annex 3,"Gentile, Michael",Century,,,,
7/24/18,Tuesday,Tu,18,AUT,Automobile,Tournament,H1/2,3,B,HMWG,Scheduled,3,Alpine,"Gentile, Michael",Century,,,,
7/26/18,Thursday,Th,14,AUT,Automobile,Tournament,H2/2,3,B,HMWG,Scheduled,3,Alpine,"Gentile, Michael",Century,,,,
7/27/18,Friday,Fr,12,AUT,Automobile,Tournament,SF,3,B,HMWG,Scheduled,3,Alpine,"Gentile, Michael",Century,,,,
7/27/18,Friday,Fr,15,AUT,Automobile,Tournament,F,3,B,HMWG,Scheduled,3,Laurel,"Gentile, Michael",Century,,,,
7/21/18,First Saturday,FSa,12,A&A,Axis & Allies,Tournament,R1/3,3,A,SwEl,Continuous,5,First Tracks Poolside,"Yope, Craig",Century,,,,
7/21/18,First Saturday,FSa,18,A&A,Axis & Allies,Tournament,R2/3,3,A,SwEl,Continuous,5,First Tracks Poolside,"Yope, Craig",Century,,,,
7/22/18,First Sunday,FSu,9,A&A,Axis & Allies,Tournament,R3/3,3,A,SwEl,Continuous,5,First Tracks Center,"Yope, Craig",Century,,,,
7/22/18,First Sunday,FSu,14,A&A,Axis & Allies,Tournament,SF,3,A,SwEl,Continuous,5,First Tracks Center,"Yope, Craig",Century,,,,
7/22/18,First Sunday,FSu,19,A&A,Axis & Allies,Tournament,F,3,A,SwEl,Continuous,5,First Tracks Center,"Yope, Craig",Century,,,,
7/26/18,Thursday,Th,9,B17,B-17,Tournament,R1/3,6,A,SW,Continuous,3,Wintergreen,"Yoshikawa, Mark",Century,,,,
7/26/18,Thursday,Th,12,B17,B-17,Tournament,R2/3,6,A,SW,Continuous,3,Wintergreen,"Yoshikawa, Mark",Century,,,,
7/26/18,Thursday,Th,15,B17,B-17,Tournament,R3/3,6,A,SW,Continuous,3,Wintergreen,"Yoshikawa, Mark",Century,,,,
7/21/18,First Saturday,FSa,19,BCY,Battle Cry,Tournament,D1/1,--,--,--,--,1,Annex 2,"Stanley, Mike",Trial,,,,
7/21/18,First Saturday,FSa,20,BCY,Battle Cry,Tournament,R1M,1,B,SEM,Continuous,1,First Tracks Poolside,"Stanley, Mike",Trial,,,,
7/28/18,Saturday,Sa,9,BCY,Battle Cry,Tournament,R1/5,1,B,SEM,Continuous,1,First Tracks Poolside,"Stanley, Mike",Trial,,,,
7/28/18,Saturday,Sa,11,BCY,Battle Cry,Tournament,R2/5,1,B,SEM,Continuous,1,First Tracks Poolside,"Stanley, Mike",Trial,,,,
7/28/18,Saturday,Sa,12,BCY,Battle Cry,Tournament,R3/5,1,B,SEM,Continuous,1,First Tracks Poolside,"Stanley, Mike",Trial,,,,
7/28/18,Saturday,Sa,13,BCY,Battle Cry,Tournament,R4/5,1,B,SEM,Continuous,1,First Tracks Poolside,"Stanley, Mike",Trial,,,,
7/28/18,Saturday,Sa,14,BCY,Battle Cry,Tournament,F,1,B,SEM,Continuous,1,First Tracks Poolside,"Stanley, Mike",Trial,,,,
7/21/18,First Saturday,FSa,9,BFS,Battle for Stalingrad,Tournament,D1/2,--,--,--,--,1,Annex 4,"Ong, Meng",Sponsor,,,,
7/22/18,First Saturday,FSa,14,BFS,Battle for Stalingrad,Tournament,D2/2,--,--,--,--,1,Annex 3,"Ong, Meng",Sponsor,,,,
7/21/18,First Saturday,FSa,10,BFS,Battle for Stalingrad,Tournament,R1/4,1,B,SwEl,Scheduled,3,Festival,"Ong, Meng",Sponsor,,,,
7/22/18,First Saturday,FSa,15,BFS,Battle for Stalingrad,Tournament,R2/4,1,B,SwEl,Scheduled,3,Festival,"Ong, Meng",Sponsor,,,,
7/26/18,Thursday,Th,9,BFS,Battle for Stalingrad,Tournament,R3/4,1,B,SwEl,Scheduled,6,Festival,"Ong, Meng",Sponsor,,,,
7/27/18,Friday,Fr,9,BFS,Battle for Stalingrad,Tournament,R4/4,1,B,SwEl,Scheduled,6,Festival,"Ong, Meng",Sponsor,,,,
7/27/18,Friday,Fr,16,BFS,Battle for Stalingrad,Tournament,SF,1,B,SwEl,Scheduled,6,Festival,"Ong, Meng",Sponsor,,,,
7/28/18,Saturday,Sa,9,BFS,Battle for Stalingrad,Tournament,F,1,B,SwEl,Scheduled,6,Festival,"Ong, Meng",Sponsor,,,,
7/27/18,Friday,Fr,18,BAT,Battle Line,Tournament,D1/1,--,--,--,--,1,Annex 1,"McCulloch, Sean",Century,,,,
7/27/18,Friday,Fr,19,BAT,Battle Line,Tournament,R1/3,3,B,SwEl,Continuous,1,Seasons,"McCulloch, Sean",Century,,,,
7/27/18,Friday,Fr,20,BAT,Battle Line,Tournament,R2/3,3,B,SwEl,Continuous,1,Seasons,"McCulloch, Sean",Century,,,,
7/27/18,Friday,Fr,21,BAT,Battle Line,Tournament,R3/3,3,B,SwEl,Continuous,1,Seasons,"McCulloch, Sean",Century,,,,
7/27/18,Friday,Fr,22,BAT,Battle Line,Tournament,SF,3,B,SwEl,Continuous,1,Seasons,"McCulloch, Sean",Century,,,,
7/27/18,Friday,Fr,23,BAT,Battle Line,Tournament,F,3,B,SwEl,Continuous,1,Seasons,"McCulloch, Sean",Century,,,,
7/24/18,Tuesday,Tu,17,BAR,Battles of the American Revolution,Tournament,D1/1,--,--,--,--,1,Annex 4,"Miklos, Mark",Century,,,,
7/22/18,First Sunday,FSu,15,BAR,Battles of the American Revolution,Tournament,R1/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/23/18,Monday,Mo,9,BAR,Battles of the American Revolution,Tournament,R2/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/23/18,Monday,Mo,19,BAR,Battles of the American Revolution,Tournament,R3/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/24/18,Tuesday,Tu,9,BAR,Battles of the American Revolution,Tournament,R4/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/24/18,Tuesday,Tu,19,BAR,Battles of the American Revolution,Tournament,R5/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/25/18,Wednesday,We,9,BAR,Battles of the American Revolution,Tournament,R6/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/25/18,Wednesday,We,21,BAR,Battles of the American Revolution,Tournament,R7/7,3,B,SwEl,Scheduled,3,Festival,"Miklos, Mark",Century,,,,
7/26/18,Thursday,Th,9,BAR,Battles of the American Revolution,Tournament,QF,3,B,SwEl,Scheduled,6,Festival,"Miklos, Mark",Century,,,,
7/26/18,Thursday,Th,18,BAR,Battles of the American Revolution,Tournament,SF,3,B,SwEl,Scheduled,4,Festival,"Miklos, Mark",Century,,,,
7/27/18,Friday,Fr,9,BAR,Battles of the American Revolution,Tournament,F,3,B,SwEl,Scheduled,8,Festival,"Miklos, Mark",Century,,,,
7/21/18,First Saturday,FSa,9,BWD,Bitter Woods,Tournament,R1/5,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
7/23/18,Monday,Mo,9,BWD,Bitter Woods,Tournament,R2/5,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
7/24/18,Tuesday,Tu,17,BWD,Bitter Woods,Tournament,R3/5,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
7/25/18,Wednesday,We,9,BWD,Bitter Woods,Tournament,R4/5,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
7/26/18,Thursday,Th,9,BWD,Bitter Woods,Tournament,R5/5,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
7/28/18,Saturday,Sa,9,BWD,Bitter Woods,Tournament,SF,1,A,SwEl,Free Form,6,Festival,"Sinigaglio, Bruno",Trial,,,,
